"Date","Members","Meetup","Attendance","WeekDay","Comments","Days_Since_Meetup","Days_Till_Meetup"
16910,1,NA,NA,NA,NA,0,0
16911,3,NA,NA,NA,NA,1,8
16914,43,NA,NA,NA,NA,4,5
16915,45,NA,NA,NA,NA,5,4
16916,90,NA,NA,NA,NA,6,3
16917,94,NA,NA,NA,NA,7,2
16918,95,NA,NA,NA,NA,8,1
16919,102,"'Improving London' Data Science Hacknight",15,"Thursday",9,0,0
16920,103,NA,NA,NA,NA,1,5
16923,104,NA,NA,NA,NA,4,2
16924,105,NA,NA,NA,NA,5,1
16925,109,"'Improving London' Data Science Hacknight",15,"Wednesday",10,0,0
16926,111,NA,NA,NA,NA,1,14
16928,112,NA,NA,NA,NA,3,12
16930,115,NA,NA,NA,NA,5,10
16932,118,NA,NA,NA,NA,7,8
16933,120,NA,NA,NA,NA,8,7
16934,122,NA,NA,NA,NA,9,6
16935,123,NA,NA,NA,NA,10,5
16936,126,NA,NA,NA,NA,11,4
16937,129,NA,NA,NA,NA,12,3
16938,130,NA,NA,NA,NA,13,2
16939,133,NA,NA,NA,NA,14,1
16940,135,"'Improving London' Data Science Hacknight (#3)",7,"Thursday",7,0,0
16941,138,NA,NA,NA,NA,1,18
16946,140,NA,NA,NA,NA,6,13
16949,141,NA,NA,NA,NA,9,10
16952,142,NA,NA,NA,NA,12,7
16954,145,NA,NA,NA,NA,14,5
16955,146,NA,NA,NA,NA,15,4
16956,147,NA,NA,NA,NA,16,3
16957,148,NA,NA,NA,NA,17,2
16959,150,"Unfinished Projects Night",5,"Tuesday",5,0,0
16960,151,NA,NA,NA,NA,1,6
16961,154,NA,NA,NA,NA,2,5
16965,155,NA,NA,NA,NA,6,1
16966,156,"'Improving London' Data Science Hacknight (#4)",14,"Tuesday",13,0,0
16969,157,NA,NA,NA,NA,3,9
16970,158,NA,NA,NA,NA,4,8
16972,159,NA,NA,NA,NA,6,6
16974,160,NA,NA,NA,NA,8,4
16976,161,NA,NA,NA,NA,10,2
16977,163,NA,NA,NA,NA,11,1
16978,165,"Kaggle Titanic 101",5,"Sunday",20,0,0
16979,167,NA,NA,NA,NA,1,3
16980,168,NA,NA,NA,NA,2,2
16981,169,NA,NA,NA,NA,3,1
16982,173,"""Collection of Data Science Take-home Challenges"" #1: Conversion Rates",10,"Thursday",4,0,0
16983,175,NA,NA,NA,NA,1,24
16992,176,NA,NA,NA,NA,10,15
16996,177,NA,NA,NA,NA,14,11
16997,178,NA,NA,NA,NA,15,10
16998,179,NA,NA,NA,NA,16,9
17000,180,NA,NA,NA,NA,18,7
17001,182,NA,NA,NA,NA,19,6
17003,183,NA,NA,NA,NA,21,4
17006,185,NA,NA,NA,NA,24,1
17007,189,"""Collection of Data Science Take-home Challenges"" #3: Employee Retention",11,"Monday",10,0,0
17012,192,NA,NA,NA,NA,5,2
17013,194,NA,NA,NA,NA,6,1
17014,197,"Learning Tableau",4,"Monday",10,0,0
17015,200,"Predicting National Happiness",20,"Tuesday",16,0,0
17016,201,NA,NA,NA,NA,1,19
17019,202,NA,NA,NA,NA,4,16
17025,204,NA,NA,NA,NA,10,10
17028,205,NA,NA,NA,NA,13,7
17029,206,NA,NA,NA,NA,14,6
17033,207,NA,NA,NA,NA,18,2
17035,208,"Learning Tableau",4,"Monday",5,0,0
17036,209,"Building a Troll Predictor",3,"Tuesday",4,0,0
17040,210,NA,NA,NA,NA,4,10
17043,212,NA,NA,NA,NA,7,7
17044,214,NA,NA,NA,NA,8,6
17046,216,NA,NA,NA,NA,10,4
17049,220,NA,NA,NA,NA,13,1
17050,222,"Web Scraping and Manipulating PDF Databases",12,"Tuesday",11,0,0
17051,225,NA,NA,NA,NA,1,29
17055,226,NA,NA,NA,NA,5,25
17056,227,NA,NA,NA,NA,6,24
17057,228,NA,NA,NA,NA,7,23
17059,230,NA,NA,NA,NA,9,21
17062,231,NA,NA,NA,NA,12,18
17064,233,NA,NA,NA,NA,14,16
17065,236,NA,NA,NA,NA,15,15
17066,237,NA,NA,NA,NA,16,14
17068,238,NA,NA,NA,NA,18,12
17069,239,NA,NA,NA,NA,19,11
17070,240,NA,NA,NA,NA,20,10
17071,242,NA,NA,NA,NA,21,9
17072,245,NA,NA,NA,NA,22,8
17076,247,NA,NA,NA,NA,26,4
17077,251,NA,NA,NA,NA,27,3
17078,253,NA,NA,NA,NA,28,2
